name,college,image_url
Bryce Young,Alabama,https://upload.wikimedia.org/wikipedia/commons/3/3a/Bryce_Young_at_W.P.T._Hill_Field_-_2024_-_02_%28cropped%29.jpg
Will Levis,Kentucky,https://upload.wikimedia.org/wikipedia/commons/8/82/Will_Levis_Titans-Steelers_NOV2023.png
Brock Purdy,Iowa State,https://upload.wikimedia.org/wikipedia/commons/4/49/BrockPurdy2021_%28cropped%29.jpg
Geno Smith,West Virginia,https://upload.wikimedia.org/wikipedia/commons/6/6c/Geno_Smith_Raiders_2025_%28cropped%29.jpg
Jared Goff,California,https://upload.wikimedia.org/wikipedia/commons/4/48/Jared_Goff_by_Gage_Skidmore.jpg
Jordan Love,Utah State,https://upload.wikimedia.org/wikipedia/commons/6/6a/2025_Commanders_at_Packers_135_%28cropped%29.jpg
Trevor Lawrence,Clemson,https://upload.wikimedia.org/wikipedia/commons/0/02/Trevor_Lawrence_SEP2022_%28cropped%29.jpg
Mac Jones,Alabama,https://upload.wikimedia.org/wikipedia/commons/2/2f/Mac_1237_%281%29_%282%29.jpg
Deshaun Watson,Clemson,https://upload.wikimedia.org/wikipedia/commons/f/f6/Deshaun_Watson_%2853142891313%29_%28cropped%29.jpg
Aaron Rodgers,California,https://upload.wikimedia.org/wikipedia/commons/c/c3/Aaron_Rodgers_OCT2022_%28cropped%29.jpg
Derek Carr,Fresno State,https://upload.wikimedia.org/wikipedia/commons/5/50/Derek_Carr_WFT_at_Raiders_-_51735347857_%28cropped%29.jpg
Jacoby Brissett,NC State,https://upload.wikimedia.org/wikipedia/commons/2/20/Jacoby_Brissett_at_Charity_Softball_Game_2024_%28cropped%29.jpg
Teddy Bridgewater,Louisville,https://upload.wikimedia.org/wikipedia/commons/a/a2/Teddy_Bridgewater_2017.jpg
Case Keenum,Houston,https://upload.wikimedia.org/wikipedia/commons/a/a8/Case_Keenum_%2848572342057%29.jpg
Andy Dalton,TCU,https://upload.wikimedia.org/wikipedia/commons/d/df/Andy_Dalton_2017%E2%80%942.JPG
Nick Foles,Arizona,https://upload.wikimedia.org/wikipedia/commons/8/8a/Nick_Foles_Philadelphia_Eagles_Super_Bowl_LII_Victory_Parade_%2840140602902%29_%28cropped1%29.jpg
Colin Kaepernick,Nevada,https://upload.wikimedia.org/wikipedia/commons/1/1b/Colin_Kaepernick_-_San_Francisco_vs_Green_Bay_2012.jpg
Robert Griffin III,Baylor,https://upload.wikimedia.org/wikipedia/commons/3/35/Robert_Griffin_III_2022.jpg
Jameis Winston,Florida State,https://upload.wikimedia.org/wikipedia/commons/2/29/WFT_vs._Saints_%2851583434549%29.jpg
Marcus Mariota,Oregon,https://upload.wikimedia.org/wikipedia/commons/9/98/Marcus_Mariota_Commanders_2025.jpg
Baker Mayfield,Oklahoma,https://upload.wikimedia.org/wikipedia/commons/d/dd/Baker_Mayfield_%28cropped%29.jpg
Sam Darnold,USC,https://upload.wikimedia.org/wikipedia/commons/5/56/Sam_darnold_2019.jpg
Josh Rosen,UCLA,https://upload.wikimedia.org/wikipedia/commons/d/dd/Josh_Rosen_Browns_Camp_2022_%28cropped%29.jpg
Carson Wentz,North Dakota State,https://upload.wikimedia.org/wikipedia/commons/c/c8/Carson_Wentz_%2851944114342%29_%28cropped%29.jpg
Eli Manning,Ole Miss,https://upload.wikimedia.org/wikipedia/commons/6/6c/Eli_Manning_crop.jpg
Alex Smith,Utah,https://upload.wikimedia.org/wikipedia/commons/e/ec/Alex_Smith_Redskins_2018.jpg
Jay Cutler,Vanderbilt,https://upload.wikimedia.org/wikipedia/commons/c/c5/JayCutlergfdl_%28cropped%29.JPG
Tony Romo,Eastern Illinois,https://upload.wikimedia.org/wikipedia/commons/4/4e/Tony_Romo_2015.jpg
Chad Pennington,Marshall,https://upload.wikimedia.org/wikipedia/commons/5/5a/Chad_Pennington.jpg
Donovan McNabb,Syracuse,https://upload.wikimedia.org/wikipedia/commons/7/7e/McNabb_cropped.jpg
Michael Vick,Virginia Tech,https://upload.wikimedia.org/wikipedia/commons/e/e5/Michael_vick_2017_%28cropped%29.jpg
Vince Young,Texas,https://upload.wikimedia.org/wikipedia/commons/2/25/Vince-Young.jpg
Matt Leinart,USC,https://upload.wikimedia.org/wikipedia/commons/5/53/Matt_Leinart_by_Gage_Skidmore.jpg
JaMarcus Russell,LSU,https://upload.wikimedia.org/wikipedia/commons/f/f1/JaMarcus_Russell_at_Falcons_at_Raiders_11-2-08.JPG
Ryan Fitzpatrick,Harvard,https://upload.wikimedia.org/wikipedia/commons/9/9d/Ryan_Fitzpatrick_Thursday_Night_Football_DEC2023_%28cropped%29.jpg
Tyrod Taylor,Virginia Tech,https://upload.wikimedia.org/wikipedia/commons/3/3a/Tyrod_Taylor_2016.jpg
Gardner Minshew,Washington State,https://upload.wikimedia.org/wikipedia/commons/9/9d/Gardner_Minshew_%28cropped%29.jpg
Zach Wilson,BYU,https://upload.wikimedia.org/wikipedia/commons/8/81/Zach_Wilson_in_London.jpg
Justin Fields,Ohio State,https://upload.wikimedia.org/wikipedia/commons/4/4c/2025_NYJ_Media_Day_Justin_Fields_%28cropped%29.png
Kenny Pickett,Pittsburgh,https://upload.wikimedia.org/wikipedia/commons/3/3c/Kenny_Pickett_by_Gage_Skidmore.jpg
Davis Mills,Stanford,https://upload.wikimedia.org/wikipedia/commons/7/7f/Davis_Mills_Being_Chased_%28cropped%29.jpg
Sam Howell,North Carolina,https://upload.wikimedia.org/wikipedia/commons/c/cc/Sam_Howell_2022_-_3_%28cropped%29.jpg
Bijan Robinson,Texas,https://upload.wikimedia.org/wikipedia/commons/3/38/Atlanta_Falcons_Bijan_Robinson_MAY2023_%28cropped%29.png
Breece Hall,Iowa State,https://upload.wikimedia.org/wikipedia/commons/b/b3/Breece_Hall_FanDuel_Interview_%28cropped%29.png
Travis Etienne,Clemson,https://upload.wikimedia.org/wikipedia/commons/6/6d/Travis_Etienne.jpg
Najee Harris,Alabama,https://upload.wikimedia.org/wikipedia/commons/d/dc/NajeeHarris2022.jpg
Javonte Williams,North Carolina,https://upload.wikimedia.org/wikipedia/commons/1/1f/Javonte_WIlliams_2025.jpg
Austin Ekeler,Western State Colorado,https://upload.wikimedia.org/wikipedia/commons/b/b9/Austin_Ekeler_2024.jpg
Josh Jacobs,Alabama,https://upload.wikimedia.org/wikipedia/commons/e/ed/2025_Commanders_at_Packers_54_%28cropped%29.jpg
Miles Sanders,Penn State,https://upload.wikimedia.org/wikipedia/commons/2/2b/Nittany_Lions_in_the_NFL_%28Miles_Sanders%29_%28cropped%29.jpg
D'Andre Swift,Georgia,https://upload.wikimedia.org/wikipedia/commons/f/f3/GA_VS_LSU_E101318_9.jpg
Cam Akers,Florida State,https://upload.wikimedia.org/wikipedia/commons/0/0a/Cam_Akers_2017.png
Clyde Edwards-Helaire,LSU,https://upload.wikimedia.org/wikipedia/commons/e/ee/2020-0113-ClydeEdwards-Helaire.jpg
Antonio Gibson,Memphis,https://upload.wikimedia.org/wikipedia/commons/4/4c/Antonio_Gibson_%2851400621925%29_%28cropped%29.jpg
